



💋松视CR(更新日期114.04.07),#genre#
松视1台(小雲),http://18.svi-studio.com:80/live/478790710441/100371347442/5.m3u8
松视1台(小雲),http://18.svi-studio.com:80/live/176844830209/558261845324/5.m3u8
松视1台(小雲),http://18.svi-studio.com:80/live/055613148424/758984796805/5.m3u8
松视1台(小雲),http://18.svi-studio.com:80/live/091271435055/841916267544/5.m3u8
松视1台(小雲),http://18.svi-studio.com:80/live/824248886026/865501635027/5.m3u8
松视1台(小雲),http://18.svi-studio.com:80/live/378283219362/918313032809/5.m3u8
松视1台(小雲),http://18.svi-studio.com:8880/live/584830114073/800309151021/5.m3u8
松视1台(小雲),http://18.svi-studio.com:80/live/652484888807/195449585962/5.m3u8
松视1台(小雲),http://18.svi-studio.com:80/live/346356153167/782875691212/5.m3u8
松视1台(小雲),http://18.svi-studio.com:80/live/875994180836/930699661147/5.m3u8
松视1台(小雲),http://18.svi-studio.com:80/live/917952932058/953281067271/5.m3u8
松视1台(小雲),http://18.svi-studio.com:80/live/426804892399/739490745427/5.m3u8
松视1台(小雲),http://18.svi-studio.com:80/live/875355861316/575426927985/5.m3u8
松视1台(小雲),http://18.svi-studio.com:8880/live/584830114073/800309151021/5.m3u8 
松视1台(小雲),http://18.svi-studio.com:80/live/656570054361/567275863459/5.m3u8


松视1台,http://276868.cloud/33899f168487d4ecf86768be40853b71/a342fa9e5e11747f731a4832e31e0e7d/c5f2d006bb9ccf4951acc5cc4b4b8b39/index.m3u8
松视1台,http://suo.im/c4FP2
松视1台,http://ali.hlspull.yximgs.com/live/3ece22313a5434d269096c0492bb4592.flv
松视1台,http://ali.hlspull.yximgs.com/live/a9c3603ee1bd0bc1b9603f808d87aaca.flv
松视1台,p3p://108.181.20.159:75234/5fe445280008a40682a0367c343436bb
松视1台,p3p://173.208.176.178:31809/5fe445280008a40682a0367c343436bb
松视1台,http://107.167.16.226:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476365.m3u8
松视1台,http://104.194.10.200:25461/live/271871095922/006886711863/5.m3u8?token=SRVZVERZGl8UCA4FVw9TAlQFBQRQWgAEDlIGDlYBAQcCAAIEDwMIAA4SGhZFTRdVVl1rWwYaXAMbE0FLBERmClYVCxcABhpJFERfWVMbXwAbEkRbBhpcEAYDAw5RFBVBV09FUEVfWQlpVFNCX1oAEg1eQV4OFERdWW5QXQxXVwcQDRMFFR0aDEVAFA5YTAlcGxJWWxZKB0ZSEw4aUwQOUxAbE1ZYRFYRREkUDhRsNhIbElFKFl0IQV5eWhpbFFRQRw8TGRVYSzpEVUVARFwEXVJCFghACEQeFVxVQD5VVg1cUlJBXl5WFhQKFA0PAFwSGxJZXQxREl1FbkRRBRQDQQAEAQUDE0U=
松视1台,http://z3.ubtvfans.com/live/rx3/402/733039a795cd903623dd9c87385ee32b/index.m3u8


松视2台(小雲),http://18.svi-studio.com:80/live/478790710441/100371347442/6.m3u8
松视2台(小雲),http://18.svi-studio.com:80/live/176844830209/558261845324/6.m3u8
松视2台(小雲),http://18.svi-studio.com:80/live/055613148424/758984796805/6.m3u8
松视2台(小雲),http://18.svi-studio.com:80/live/091271435055/841916267544/6.m3u8
松视2台(小雲),http://18.svi-studio.com:80/live/824248886026/865501635027/6.m3u8
松视2台(小雲),http://18.svi-studio.com:80/live/378283219362/918313032809/6.m3u8
松视2台(小雲),http://18.svi-studio.com:80/live/652484888807/195449585962/6.m3u8
松视2台(小雲),http://18.svi-studio.com:80/live/875994180836/930699661147/6.m3u8
松视2台(小雲),http://18.svi-studio.com:80/live/346356153167/782875691212/6.m3u8
松视2台(小雲),http://18.svi-studio.com:80/live/917952932058/953281067271/6.m3u8
松视2台(小雲),http://18.svi-studio.com:80/live/426804892399/739490745427/6.m3u8
松视2台(小雲),http://18.svi-studio.com:80/live/875355861316/575426927985/6.m3u8
松视2台(小雲),http://18.svi-studio.com:8880/live/917952932058/953281067271/6.m3u8 
松视2台(小雲),http://18.svi-studio.com:80/live/656570054361/567275863459/6.m3u8



松视2台,http://276868.cloud/e7e5fccaa92d69a7553c3890c3519a14/a342fa9e5e11747f731a4832e31e0e7d/79624e0ad988a352ad8d5a819dd37a46/index.m3u8
松视2台,http://b.mtw.so/6pAjsB
松视2台,http://lc.aacalive.com:26789/i/ghjnvq5o/8c85fsaf/index.m3u8
松视2台,p3p://173.208.176.178:31809/60232b5f00007bc37850649979e379df
松视2台,http://live.redtraffic.xyz:80/bigdick.m3u8
松视2台,p3p://108.181.20.159:75234/60232b5f00007bc37850649979e379df
松视2台,http://107.167.16.226:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/639653.m3u8
松视2台,http://104.194.10.200:25461/live/271871095922/006886711863/6.m3u8?token=SRVZVERZGl8UCA4FVw9TAlQFBQRQWgAEDlIGDlYBAQcCAAIEDwMIAA4SGhZFTRdVVl1rWwYaXAMbE0FLBERmClYVCxcABhpJFERfWVMbXwAbEkRbBhpcEAYDAw5RFBVBV09FUEVfWQlpVFNCX1oAEg1eQV4OFERdWW5QXQxXVwcQDRMFFR0aDEVAFA5YTAlcGxJWWxZKB0ZSEw4aUwQOUxAbE1ZYRFYRREkUDhRsNhIbElFKFl0IQV5eWhpbFFRQRw8TGRVYSzpEVUVARFwEXVJCFghACEQeFVxVQD5VVg1cUlJBXl5WFhQKFA0PAFwSGxJZXQxREl1FbkRRBRQDQQAEAQUDE0U=
松视2台,http://ali.hlspull.yximgs.com/live/3a078c1d69a41e679e167215f052c723.flv


松视3台(小雲),http://18.svi-studio.com:80/live/478790710441/100371347442/20205.m3u8
松视3台(小雲),http://18.svi-studio.com:80/live/652484888807/195449585962/20205.m3u8
松视3台(小雲),http://18.svi-studio.com:80/live/055613148424/758984796805/20205.m3u8
松视3台(小雲),http://18.svi-studio.com:80/live/091271435055/841916267544/20205.m3u8
松视3台(小雲),http://18.svi-studio.com:80/live/824248886026/865501635027/20205.m3u8
松视3台(小雲),http://18.svi-studio.com:80/live/378283219362/918313032809/20205.m3u8
松视3台(小雲),http://18.svi-studio.com:80/live/176844830209/558261845324/20205.m3u8
松视3台(小雲),http://18.svi-studio.com:80/live/875994180836/930699661147/20205.m3u8
松视3台(小雲),http://18.svi-studio.com:80/live/346356153167/782875691212/20205.m3u8
松视3台(小雲),http://18.svi-studio.com:80/live/426804892399/739490745427/20205.m3u8
松视3台(小雲),http://18.svi-studio.com:80/live/917952932058/953281067271/20205.m3u8
松视3台(小雲),http://18.svi-studio.com:8880/live/271871095922/006886711863/20205.m3u8
松视3台(小雲),http://18.svi-studio.com:80/live/875355861316/575426927985/20205.m3u8
松视3台(小雲),http://18.svi-studio.com:8880/live/271871095922/006886711863/20205.m3u8
松视3台(小雲),http://18.svi-studio.com:80/live/656570054361/567275863459/20205.m3u8


松视3台,p3p://173.208.176.178:31809/6109e9590001f40bfd9b661109395f3b
松视3台,http://ali.hlspull.yximgs.com:80/live/9663ea3c5f5a81b533de8c546c1329f5.flv
松视3台,http://ali.hlspull.yximgs.com/live/3f6f5f4476f4ac79303be71e5cd70808.flv
松视3台,http://z3.ubtvfans.com/live/rx3/404/92fba28e982d7b13b6b47247c5a40674/index.m3u8
松视3台,http://suo.im/9wiS2
松视3台,http://104.194.10.200:25461/live/271871095922/006886711863/20205.m3u8?token=SRVZVERZGl8UCA4FVw9TAlQFBQRQWgAEDlIGDlYBAQcCAAIEDwMIAA4SGhZFTRdVVl1rWwYaXAMbE0FLBERmClYVCxcABhpJFERfWVMbXwAbEkRbBhpcEAYDAw5RFBVBV09FUEVfWQlpVFNCX1oAEg1eQV4OFERdWW5QXQxXVwcQDRMFFR0aDEVAFA5YTAlcGxJWWxZKB0ZSEw4aUwQOUxAbE1ZYRFYRREkUDhRsNhIbElFKFl0IQV5eWhpbFFRQRw8TGRVYSzpEVUVARFwEXVJCFghACEQeFVxVQD5VVg1cUlJBXl5WFhQKFA0PAFwSGxJZXQxREl1FbkRRBRQDQQAEAQUDE0U=

松视4台(小雲),http://18.svi-studio.com:8880/get.php?username=652484888807&password=195449585962&type=m3u&output=m3u8
松视4台,https://kdy-oss.oss01-cn-lasa-xzns-d01-a.cloud.ningsuan.com.cn/kodbox/202410/06/akw6b-3pn5Rcw?response-content-disposition=inline%3Bfilename%3DS4-3.mp4&response-content-type=video%2Fmp4&OSSAccessKeyId=FfDrPsUMS4h3sKnf&Expires=1732118399&Signature=P6mI8Nv7Gvdvg0UaQ9bIvFKk3Rs%3D
松视4台,https://u.kstore.space/download/8504/%E8%8B%B9%E6%9E%9C%E9%A6%992.mp4
松视4台,https://www.5ycc.cn/view.php/4151ed5519480243da312ee68cf45312.mp4

麻豆直播,http://276868.cloud/7584899480166fb05d86da7b61a0940e/a342fa9e5e11747f731a4832e31e0e7d/57c97d9bd28f87f9ee79891f2496dc99/index.m3u8
麻豆直播,p3p://173.208.176.178:31809/63fd56ec000b5f0d26d4fe1b07963493
麻豆直播,p3p://173.208.176.178:31809/606271190002a1266f75aaee0463186a
麻豆直播,https://epg.pw/stream/e5cc080f8b849ce451705d59802c6d1605c643995772f60896098fd840b10255.m3u8

大番號直播,http://lc.aacalive.com:26789/i/ghjnvq5o/sajdxxzc/index.m3u8

彩虹E台,p3p://173.208.176.178:31809/6062716c0008efc86f76f0c44d55329f
彩虹E台,http://276868.cloud/304eb151795fdb6f46fb2e7131899aa4/a342fa9e5e11747f731a4832e31e0e7d/8f9bc18b7f6567180e5f3444818aaa9c/index.m3u8
彩虹E台,https://epg.pw/stream/39d8f414d724fb9b7c2b1d6ae39871850ff5cf78d9db0ef0a2b8eea8ed84a39a.m3u8
彩虹E台,http://ali.hlspull.yximgs.com/live/fc2149516cf4b11feacb3deff665fb30.flv
彩虹E台,http://276868.cloud/b9b937de9424c9c8aa5abba4956cb971/a342fa9e5e11747f731a4832e31e0e7d/795b980acf178c28b340245c217ed848/index.m3u8
